months_as_customer,age,policy_number,policy_bind_date,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_zip,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_location,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year,fraud_reported,_c39
136,29,854021,2010-04-29,MH,100/300,41500,99868.92,0,600702,FEMALE,JD,transport-moving,video-games,other-relative,5187500,-5552700,2015-02-05,Vehicle Theft,?,Minor Damage,Police,DL,Columbus,1562 Britain St,9,1,?,2,0,?,514600,102920,51460,360220,Honda,Accord,1999,N,
216,36,454086,1992-11-10,KA,500/1000,83000,95649.20000000001,0,615921,FEMALE,Associate,priv-house-serv,reading,unmarried,3286800,-6839200,2015-01-25,Parked Car,?,Minor Damage,Police,UP,Springfield,1681 Cherokee Hwy,0,1,YES,2,3,?,511280,46480,139440,325360,Mercedes,E400,2014,N,
278,48,139484,1999-07-24,KA,500/1000,166000,94837.45999999999,581000000,475588,FEMALE,MD,farming-fishing,dancing,not-in-family,0,-4482000,2015-01-16,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,TN,Northbrook,7523 Oak Lane,12,1,?,2,0,?,6312150,971100,971100,4369950,Chevrolet,Silverado,1997,N,
295,48,678849,1992-02-22,MH,500/1000,83000,110561.81,0,609409,FEMALE,MD,exec-managerial,polo,unmarried,4125100,-4905300,2015-01-28,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,DL,Hillsdale,1815 Cherokee Drive,20,2,NO,2,1,YES,7142980,1098920,1098920,4945140,Volkswagen,Passat,2002,N,
112,30,346940,2002-09-13,MH,500/1000,83000,96822.81999999999,0,479852,FEMALE,Masters,prof-specialty,sleeping,not-in-family,3959100,-4921900,2015-01-21,Single Vehicle Collision,Front Collision,Major Damage,Fire,TN,Arlington,9316 Pine Ave,3,1,YES,2,0,NO,8955700,895570,1791140,6268990,Dodge,Neon,1997,Y,
122,34,985436,2003-08-09,TS,250/500,41500,124089.98,0,452249,FEMALE,Masters,prof-specialty,polo,unmarried,3162300,-2606200,2015-01-07,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,RJ,Columbus,2733 Texas Drive,18,3,NO,2,0,YES,8299170,1508940,1508940,5281290,Mercedes,E400,2011,N,
108,29,237418,2007-12-04,KA,500/1000,83000,111047.36,0,441536,FEMALE,PhD,armed-forces,bungie-jumping,not-in-family,5926200,0,2015-02-23,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,WB,Columbus,7684 Francis Ridge,4,3,NO,2,2,YES,5094540,926280,463140,3705120,Suburu,Legacy,2012,N,
14,28,335780,2002-07-22,MH,250/500,166000,131800.68,0,601617,FEMALE,Associate,craft-repair,board-games,unmarried,0,-2232700,2015-02-14,Single Vehicle Collision,Rear Collision,Major Damage,Fire,WB,Riverwood,8991 Embaracadero Ave,18,1,?,2,1,YES,5916240,1075680,1075680,3764880,Audi,A5,2012,Y,
298,45,491392,1992-07-03,TS,500/1000,83000,113070.06999999999,0,442598,MALE,High School,farming-fishing,yachting,unmarried,0,-4241300,2015-02-27,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,DL,Northbend,4905 Francis Ave,18,3,NO,0,0,NO,5312000,1062400,531200,3718400,Saab,95,1999,N,
276,46,140880,2005-03-29,TS,250/500,41500,120253.71999999999,0,430987,FEMALE,Masters,machine-op-inspct,bungie-jumping,husband,0,-4150000,2015-02-21,Parked Car,?,Trivial Damage,Police,TN,Hillsdale,7783 Lincoln Hwy,7,1,?,0,1,NO,493020,54780,54780,383460,Toyota,Highlander,2015,N,
47,37,962591,2008-03-16,KA,250/500,166000,103083.51000000001,0,430104,MALE,High School,other-service,movies,not-in-family,6258200,0,2015-01-05,Parked Car,?,Minor Damage,,DL,Hillsdale,8749 Tree St,18,1,NO,1,0,NO,556100,55610,55610,444880,Jeep,Wrangler,2011,N,
222,42,922565,1999-05-23,TS,250/500,41500,93341.79999999999,0,612904,MALE,Associate,armed-forces,hiking,not-in-family,0,0,2015-01-30,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,DL,Arlington,4985 Sky Lane,23,3,YES,0,0,?,4294420,991020,660680,2642720,Jeep,Wrangler,2006,N,
119,28,288580,2012-11-22,MH,250/500,166000,89633.36,0,430886,MALE,High School,machine-op-inspct,hiking,husband,7370400,0,2015-02-26,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,RJ,Riverwood,7534 MLK Hwy,1,1,?,0,1,YES,4448800,556100,556100,3336600,Volkswagen,Jetta,2007,Y,
73,29,154280,1993-01-29,TS,250/500,83000,120165.73999999999,0,467947,MALE,College,protective-serv,board-games,wife,2913300,-4971700,2015-01-10,Multi-vehicle Collision,Rear Collision,Total Loss,Other,TN,Arlington,8689 Maple Hwy,15,3,YES,1,0,?,3727530,414170,414170,2899190,Dodge,Neon,2001,N,
8,31,425973,2003-02-11,KA,250/500,41500,102020.28000000001,332000000,604804,FEMALE,MD,transport-moving,kayaking,wife,0,-7328900,2015-02-23,Multi-vehicle Collision,Front Collision,Major Damage,Fire,RJ,Hillsdale,9153 3rd Hwy,2,3,?,0,2,YES,3992300,921300,614200,2456800,Volkswagen,Jetta,2014,N,
294,44,477177,1990-08-15,TS,100/300,83000,101798.67,0,460308,FEMALE,PhD,farming-fishing,kayaking,unmarried,4473700,0,2015-02-05,Vehicle Theft,?,Trivial Damage,,WB,Riverwood,5904 1st Drive,3,1,NO,0,1,NO,506300,50630,101260,354410,Ford,Fusion,2002,N,
324,46,648509,2010-03-06,KA,100/300,166000,74524.87,498000000,618862,MALE,MD,tech-support,board-games,wife,0,-3427900,2015-01-21,Single Vehicle Collision,Rear Collision,Minor Damage,Other,RJ,Hillsdale,4519 Embaracadero St,13,1,?,1,0,YES,6606800,1321360,1321360,3964080,Jeep,Wrangler,2011,N,
155,34,914815,1990-09-27,KA,100/300,41500,141663.57,0,462479,MALE,Masters,protective-serv,dancing,other-relative,0,0,2015-01-07,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,MH,Hillsdale,9706 MLK Lane,1,1,NO,1,1,YES,6394320,710480,710480,4973360,Honda,Civic,1998,N,
261,45,249048,2005-06-17,TS,250/500,83000,104096.94,0,457555,FEMALE,PhD,prof-specialty,kayaking,other-relative,0,-3743300,2015-01-11,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,TN,Columbus,6012 Texas Hwy,16,1,YES,0,1,?,5194970,944540,944540,3305890,Volkswagen,Jetta,2003,N,
245,40,144323,2001-09-14,KA,500/1000,41500,73461.64,0,459984,FEMALE,Masters,armed-forces,skydiving,other-relative,2241000,-4888700,2015-02-06,Single Vehicle Collision,Front Collision,Total Loss,Other,WB,Northbend,4098 Weaver Ridge,0,1,YES,0,1,NO,7067450,1087300,1087300,4892850,Chevrolet,Malibu,1998,N,
235,39,651861,2011-01-07,TS,100/300,41500,86866.14,332000000,434982,MALE,MD,tech-support,exercise,wife,0,-2631100,2015-01-24,Vehicle Theft,?,Trivial Damage,,DL,Hillsdale,6193 1st Hwy,1,1,?,2,1,NO,410850,37350,74700,298800,Chevrolet,Silverado,2010,N,
53,36,125324,2003-09-13,MH,500/1000,166000,142152.44,0,614233,MALE,Associate,handlers-cleaners,basketball,not-in-family,5992600,0,2015-02-18,Multi-vehicle Collision,Side Collision,Major Damage,Fire,UP,Riverwood,4053 Sky Lane,17,3,?,2,0,YES,4241300,848260,424130,2968910,Audi,A3,2006,N,
426,54,398102,1997-10-24,TS,500/1000,166000,91109.93000000001,0,605258,FEMALE,Masters,adm-clerical,reading,not-in-family,2456800,-1850900,2015-01-12,Single Vehicle Collision,Side Collision,Minor Damage,Police,TN,Springfield,8964 Francis St,13,1,YES,2,3,?,8366400,1394400,1394400,5577600,Dodge,Neon,1997,N,
111,27,514065,2009-01-04,KA,250/500,41500,113192.91,332000000,604377,FEMALE,Masters,tech-support,exercise,husband,4241300,0,2015-01-17,Single Vehicle Collision,Side Collision,Total Loss,Police,UP,Springfield,9748 Sky Drive,12,1,YES,2,3,NO,7550510,1372820,1372820,4804870,Accura,RSX,2009,N,
86,26,391652,1998-10-12,MH,100/300,41500,114779.04000000001,581000000,434923,MALE,JD,tech-support,cross-fit,other-relative,0,-2514900,2015-01-12,Single Vehicle Collision,Rear Collision,Minor Damage,Police,TN,Northbend,2293 Washington Ave,11,1,?,1,1,YES,6792720,1235040,617520,4940160,Chevrolet,Malibu,2011,Y,
296,46,922167,1993-02-23,MH,100/300,83000,94732.04999999999,581000000,476456,MALE,Masters,craft-repair,sleeping,not-in-family,0,0,2015-01-06,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,DL,Northbend,3656 Solo Ave,18,1,?,0,2,NO,4556700,455670,455670,3645360,Mercedes,C300,2013,N,
125,35,442795,1996-07-07,MH,500/1000,41500,87550.89,581000000,446788,MALE,JD,tech-support,cross-fit,husband,0,-4257900,2015-02-25,Single Vehicle Collision,Front Collision,Total Loss,Fire,DL,Northbend,8579 Apache Drive,17,1,YES,2,3,NO,7358780,668980,1337960,5351840,Mercedes,C300,2007,Y,
177,34,226330,2013-01-23,TS,100/300,166000,87794.91,0,477382,FEMALE,JD,tech-support,bungie-jumping,unmarried,0,-4789100,2015-02-16,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,GJ,Riverwood,2003 Maple Hwy,22,3,?,1,1,NO,1494000,186750,186750,1120500,Audi,A3,2009,N,
238,39,134430,2006-12-06,KA,250/500,166000,123505.66,0,600275,FEMALE,JD,protective-serv,exercise,other-relative,0,-3253600,2015-02-25,Vehicle Theft,?,Minor Damage,Police,DL,Northbrook,5445 Tree Hwy,9,1,YES,1,3,YES,456500,91300,45650,319550,Chevrolet,Tahoe,2010,N,
81,25,524230,2014-02-23,KA,100/300,41500,76384.9,415000000,461958,FEMALE,High School,tech-support,hiking,own-child,4233000,-5635700,2015-02-21,Multi-vehicle Collision,Rear Collision,Major Damage,Other,WB,Hillsdale,9730 2nd Hwy,11,3,?,1,0,?,6135360,1115520,557760,4462080,Honda,Civic,2003,Y,
128,28,438817,2007-11-16,MH,500/1000,83000,81881.98999999999,0,472720,FEMALE,High School,adm-clerical,polo,other-relative,5204100,0,2015-02-16,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,UP,Columbus,7819 Oak St,11,1,NO,0,2,YES,8454380,1537160,1537160,5380060,Honda,CRV,2007,N,
449,57,293794,1999-04-17,MH,250/500,166000,119576.44,0,442395,MALE,Associate,tech-support,movies,own-child,2075000,0,2015-02-09,Parked Car,?,Minor Damage,,TN,Riverwood,1845 Best St,8,1,YES,0,1,YES,447370,81340,81340,284690,Volkswagen,Passat,2008,N,
252,39,868283,2006-02-06,KA,250/500,83000,90155.43000000001,0,455340,MALE,JD,farming-fishing,hiking,unmarried,5685500,-4772500,2015-02-13,Single Vehicle Collision,Side Collision,Minor Damage,Police,TN,Springfield,2500 Tree St,18,1,?,1,2,?,4190670,465630,465630,3259410,Nissan,Maxima,2001,N,
359,47,828890,1993-10-20,MH,100/300,166000,113517.44,0,613247,FEMALE,MD,handlers-cleaners,basketball,unmarried,0,0,2015-01-11,Single Vehicle Collision,Front Collision,Total Loss,Police,TN,Arlington,6955 Pine Drive,13,1,NO,0,3,NO,4606500,460650,921300,3224550,Mercedes,C300,2012,N,
19,32,882920,2006-01-01,MH,500/1000,83000,100915.54999999999,0,454985,MALE,High School,other-service,hiking,husband,3560700,-7486600,2015-01-02,Vehicle Theft,?,Minor Damage,Police,UP,Hillsdale,6165 Rock Ridge,8,1,YES,1,1,YES,584320,106240,53120,424960,Nissan,Maxima,2015,N,
73,26,918777,2003-04-04,TS,250/500,166000,98868.77,332000000,468813,MALE,MD,farming-fishing,basketball,not-in-family,2431900,0,2015-02-12,Multi-vehicle Collision,Rear Collision,Total Loss,Other,UP,Northbrook,3653 Elm Drive,9,3,?,0,1,YES,3333280,416660,0,2916620,Chevrolet,Tahoe,2003,N,
285,44,212580,2014-07-05,TS,500/1000,83000,132339.35,0,452747,MALE,High School,handlers-cleaners,bungie-jumping,husband,0,0,2015-02-05,Multi-vehicle Collision,Side Collision,Total Loss,Fire,GJ,Columbus,5812 3rd Hwy,17,2,YES,2,3,NO,4621440,577680,577680,3466080,Saab,95,2006,N,
196,36,602410,1996-01-16,KA,250/500,166000,121434.81,0,615611,MALE,MD,armed-forces,skydiving,own-child,0,0,2015-01-24,Vehicle Theft,?,Trivial Damage,Police,WB,Springfield,4939 Best St,3,1,?,1,1,NO,439900,43990,43990,351920,Jeep,Grand Cherokee,2001,Y,
223,43,976971,2002-04-19,MH,250/500,41500,143929.47,0,451400,FEMALE,MD,adm-clerical,camping,not-in-family,0,0,2015-01-12,Parked Car,?,Trivial Damage,,WB,Arlington,4964 Elm Lane,6,1,YES,0,3,?,431600,53950,53950,323700,Accura,MDX,2006,N,
328,48,630226,2005-12-10,TS,250/500,41500,117148.69,0,464874,MALE,Masters,armed-forces,bungie-jumping,own-child,3743300,-2722400,2015-01-16,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,DL,Riverwood,9588 Solo St,17,1,YES,2,1,NO,4930200,493020,986040,3451140,Honda,Civic,2014,N,
285,43,171254,1994-11-07,MH,100/300,166000,125544.14,0,452496,FEMALE,College,sales,paintball,other-relative,3950800,0,2015-01-13,Vehicle Theft,?,Minor Damage,Police,TN,Arlington,8718 Apache Lane,7,1,?,1,1,?,209160,23240,23240,162680,BMW,3 Series,1997,N,
30,31,247116,2012-06-02,TS,250/500,166000,95728.04999999999,0,430714,MALE,PhD,craft-repair,golf,not-in-family,0,0,2015-02-02,Vehicle Theft,?,Trivial Damage,Police,DL,Hillsdale,3590 Best Hwy,9,1,NO,2,1,YES,478080,79680,79680,318720,Suburu,Impreza,2011,N,
342,49,505969,1998-04-07,MH,250/500,41500,143004.85,0,472634,MALE,PhD,transport-moving,base-jumping,not-in-family,5237300,-1145400,2015-02-28,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,WB,Hillsdale,6149 Best Ridge,3,1,?,2,0,YES,6366100,636610,636610,5092880,Suburu,Legacy,2006,N,
219,39,653864,2007-04-25,KA,250/500,166000,106328.81,581000000,608371,FEMALE,High School,protective-serv,board-games,unmarried,0,0,2015-01-18,Parked Car,?,Trivial Damage,Police,DL,Springfield,4116 Embaracadero Lane,6,1,NO,0,2,NO,491360,61420,61420,368520,Chevrolet,Malibu,2015,N,
468,62,586367,2000-06-30,TS,100/300,41500,83989.36,0,468168,MALE,PhD,machine-op-inspct,paintball,wife,0,0,2015-02-15,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,TN,Riverwood,3486 Flute Ave,7,3,YES,0,3,?,5341050,593450,593450,4154150,Chevrolet,Tahoe,2009,N,
241,39,896890,1996-06-04,TS,250/500,166000,86507.58,0,464107,MALE,JD,sales,kayaking,husband,0,0,2015-01-31,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,WB,Northbend,5994 5th Ave,21,3,NO,1,2,?,1583640,351920,175960,1055760,Saab,93,1995,N,
223,43,650026,2009-05-09,MH,500/1000,41500,102513.29999999999,0,466959,FEMALE,Masters,tech-support,exercise,not-in-family,5511200,-2855200,2015-02-10,Single Vehicle Collision,Rear Collision,Minor Damage,Police,TN,Springfield,9138 3rd St,14,1,NO,2,1,NO,4515200,451520,451520,3612160,BMW,M5,2011,N,
128,32,547744,2001-07-08,MH,100/300,166000,63819.53,0,443522,FEMALE,College,sales,chess,other-relative,0,-3261900,2015-02-26,Single Vehicle Collision,Rear Collision,Total Loss,Fire,TN,Columbus,3743 Andromedia Ridge,0,1,?,1,0,NO,4963400,496340,496340,3970720,Ford,F150,1999,Y,
124,29,598124,1993-09-20,MH,500/1000,41500,108042.76000000001,0,441726,MALE,Masters,handlers-cleaners,golf,husband,0,0,2015-02-25,Multi-vehicle Collision,Side Collision,Major Damage,Police,UP,Springfield,7644 Tree Ridge,14,3,?,0,3,YES,5976000,597600,597600,4780800,Audi,A3,2005,N,
343,48,436126,2009-11-03,KA,250/500,41500,120477.81999999999,249000000,473412,MALE,JD,adm-clerical,hiking,husband,0,0,2015-01-08,Multi-vehicle Collision,Side Collision,Total Loss,Police,TN,Riverwood,3167 2nd St,13,4,NO,2,3,NO,5400810,600090,1200180,3600540,Mercedes,C300,2003,N,
404,53,739447,2014-12-10,KA,250/500,41500,63672.619999999995,0,466201,MALE,Associate,sales,reading,not-in-family,2116500,-3046100,2015-01-14,Parked Car,?,Trivial Damage,Police,WB,Columbus,3327 Lincoln Drive,8,1,NO,0,1,NO,730400,146080,73040,511280,Suburu,Legacy,2002,N,
63,24,427484,1994-01-08,MH,250/500,166000,134533.87,0,469621,FEMALE,High School,handlers-cleaners,movies,other-relative,0,0,2015-02-03,Vehicle Theft,?,Minor Damage,Police,GJ,Hillsdale,8621 Best Ridge,7,1,NO,2,0,NO,507960,84660,84660,338640,Toyota,Corolla,2015,N,
210,37,218684,2006-08-05,KA,500/1000,166000,87022.18000000001,0,466676,MALE,High School,priv-house-serv,skydiving,not-in-family,4971700,0,2015-01-05,Vehicle Theft,?,Trivial Damage,,MH,Columbus,3878 Tree Lane,9,1,?,1,2,?,587640,97940,48970,440730,Dodge,RAM,1999,N,
335,50,565564,2007-02-07,MH,100/300,83000,127675.58,498000000,615346,MALE,High School,sales,yachting,other-relative,5162600,-2606200,2015-01-24,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,DL,Riverwood,9760 Solo Lane,12,3,YES,2,3,YES,2848560,712140,356070,1780350,Volkswagen,Passat,2009,N,
11,40,743163,2001-04-09,MH,500/1000,166000,101068.27,0,440106,FEMALE,MD,prof-specialty,reading,wife,1992000,0,2015-01-26,Multi-vehicle Collision,Side Collision,Major Damage,Other,TN,Springfield,9138 1st St,6,3,?,1,0,?,4437180,806760,806760,2823660,Dodge,Neon,2004,Y,
142,33,604614,1995-02-17,KA,100/300,166000,113099.12000000001,415000000,450332,FEMALE,JD,exec-managerial,cross-fit,wife,0,0,2015-01-21,Single Vehicle Collision,Side Collision,Total Loss,Other,GJ,Columbus,3414 Elm Ave,11,1,YES,1,3,?,6752880,562740,1125480,5064660,Suburu,Legacy,2009,Y,
272,43,509928,1995-07-25,MH,100/300,83000,106167.79000000001,0,615226,MALE,PhD,craft-repair,bungie-jumping,other-relative,0,0,2015-02-06,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,GJ,Springfield,3172 Tree Ridge,5,3,?,1,2,YES,6728810,611710,1223420,4893680,Audi,A3,2006,Y,
69,26,593390,2006-03-24,TS,100/300,166000,76751.76000000001,0,437688,FEMALE,High School,machine-op-inspct,base-jumping,unmarried,0,0,2015-01-07,Single Vehicle Collision,Front Collision,Minor Damage,Fire,DL,Columbus,6104 Oak Ave,14,1,NO,2,2,NO,5238960,436580,873160,3929220,Audi,A5,2008,N,
38,28,970607,1995-03-28,MH,250/500,83000,84613.52,0,437387,MALE,Masters,transport-moving,yachting,not-in-family,0,-3295100,2015-02-10,Vehicle Theft,?,Trivial Damage,,GJ,Springfield,9742 5th Ridge,17,1,?,2,1,NO,597600,119520,59760,418320,BMW,X5,2004,N,
328,46,174701,1996-06-19,TS,500/1000,41500,109111.79999999999,0,458139,FEMALE,MD,prof-specialty,exercise,not-in-family,2058400,0,2015-02-23,Single Vehicle Collision,Rear Collision,Total Loss,Other,WB,Hillsdale,8782 3rd St,0,1,?,2,3,?,5834070,1060740,530370,4242960,Saab,92x,1998,Y,
281,43,529398,1993-06-16,MH,100/300,83000,125759.94,498000000,443191,MALE,College,priv-house-serv,camping,other-relative,0,0,2015-01-09,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,TN,Northbrook,9798 Sky Ridge,21,3,NO,1,0,NO,4995770,768580,768580,3458610,BMW,X6,1999,N,
246,44,940942,2001-07-11,MH,250/500,166000,136881.94,0,613647,MALE,College,farming-fishing,base-jumping,other-relative,0,-4863800,2015-02-22,Single Vehicle Collision,Front Collision,Major Damage,Other,DL,Hillsdale,5483 Francis Drive,18,1,YES,1,2,YES,5094540,926280,463140,3705120,Honda,Civic,2009,Y,
298,49,442677,2008-11-22,MH,250/500,41500,120433.83,0,460820,FEMALE,College,other-service,exercise,own-child,3967400,0,2015-02-21,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,DL,Springfield,2005 Texas Hwy,17,1,NO,2,2,NO,2332300,233230,466460,1632610,Jeep,Grand Cherokee,2012,N,
330,50,365364,2002-12-28,TS,500/1000,83000,81212.18000000001,0,431121,FEMALE,High School,sales,yachting,husband,0,0,2015-02-04,Single Vehicle Collision,Side Collision,Total Loss,Fire,DL,Hillsdale,6634 Texas Ridge,19,1,YES,0,0,NO,4071980,740360,740360,2591260,Chevrolet,Silverado,1995,N,
362,50,114839,2006-01-01,TS,250/500,41500,99462.21999999999,332000000,619735,MALE,Associate,sales,board-games,wife,4399000,-6017500,2015-01-07,Multi-vehicle Collision,Side Collision,Total Loss,Fire,DL,Columbus,8655 Cherokee Lane,17,3,?,1,1,NO,4735980,526220,526220,3683540,Mercedes,E400,1995,N,
241,38,872734,1990-05-19,KA,100/300,166000,83268.09,0,470485,FEMALE,Associate,tech-support,kayaking,not-in-family,0,0,2015-01-17,Multi-vehicle Collision,Side Collision,Major Damage,Fire,UP,Arlington,4955 Lincoln Ridge,23,3,?,0,3,YES,6464040,1077340,1077340,4309360,Accura,MDX,2008,N,
245,41,267885,2013-08-26,KA,500/1000,166000,100596.0,0,620473,MALE,Masters,exec-managerial,basketball,unmarried,2025200,-5021500,2015-01-28,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,DL,Springfield,7705 Best Ridge,4,1,YES,0,1,YES,6100500,610050,1220100,4270350,Jeep,Wrangler,1999,N,
371,52,740505,1997-10-12,TS,250/500,83000,103165.68000000001,581000000,449800,FEMALE,High School,other-service,paintball,own-child,0,-3079300,2015-02-22,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,DL,Riverwood,5838 Pine Lane,2,2,YES,2,0,?,7380360,567720,1135440,5677200,Accura,RSX,2010,N,
343,52,629663,2002-01-21,TS,500/1000,83000,87400.66,0,602402,FEMALE,Associate,prof-specialty,bungie-jumping,not-in-family,0,0,2015-02-16,Single Vehicle Collision,Front Collision,Major Damage,Other,DL,Arlington,7331 Sky Hwy,2,1,?,0,2,NO,3953290,1078170,359390,2515730,Toyota,Corolla,2005,Y,
377,53,839884,1996-09-02,TS,100/300,41500,140571.29,0,452456,FEMALE,MD,craft-repair,kayaking,unmarried,0,-5312000,2015-02-17,Multi-vehicle Collision,Front Collision,Total Loss,Fire,WB,Hillsdale,5640 Embaracadero Lane,10,3,YES,1,3,NO,4900320,544480,544480,3811360,Saab,93,2015,N,
154,37,241562,2010-01-28,TS,250/500,83000,169949.97,0,439269,FEMALE,MD,farming-fishing,dancing,other-relative,0,-5627400,2015-01-09,Single Vehicle Collision,Rear Collision,Minor Damage,Other,TN,Columbus,9610 Cherokee St,2,1,?,0,3,NO,6600990,1200180,600090,4800720,Accura,MDX,2000,N,
166,34,405533,2014-10-03,MH,100/300,83000,89948.76000000001,0,617774,FEMALE,High School,machine-op-inspct,base-jumping,wife,5444800,-5660600,2015-02-09,Single Vehicle Collision,Side Collision,Total Loss,Other,DL,Columbus,3550 Washington Ave,18,1,NO,0,2,YES,4455440,405040,405040,3645360,Honda,CRV,2005,N,
298,46,667021,2007-05-02,MH,500/1000,83000,94488.86,498000000,477678,MALE,JD,prof-specialty,dancing,own-child,3062700,-4565000,2015-02-16,Single Vehicle Collision,Side Collision,Minor Damage,Police,TN,Arlington,5277 Texas Lane,18,1,NO,2,3,YES,2784650,253150,506300,2025200,Volkswagen,Passat,2005,N,
235,42,511621,1990-09-22,KA,250/500,41500,89027.45999999999,0,444913,FEMALE,Masters,machine-op-inspct,exercise,husband,3311700,-4996600,2015-02-18,Multi-vehicle Collision,Side Collision,Total Loss,Other,WB,Springfield,3654 Cherokee Ave,7,4,?,2,1,YES,5735300,573530,573530,4588240,Toyota,Highlander,2006,N,
172,35,476923,2004-09-19,TS,100/300,166000,101180.31999999999,0,456602,MALE,MD,handlers-cleaners,paintball,own-child,5278800,-5702100,2015-01-11,Multi-vehicle Collision,Rear Collision,Major Damage,Police,MH,Hillsdale,7380 5th Hwy,19,3,?,2,0,NO,6619250,1203500,1203500,4212250,Nissan,Pathfinder,1999,N,
27,28,735822,1995-08-28,KA,100/300,166000,113857.73999999999,0,451560,MALE,JD,farming-fishing,polo,other-relative,0,-2697500,2015-02-04,Multi-vehicle Collision,Front Collision,Major Damage,Other,RJ,Riverwood,2539 Embaracadero Ridge,10,3,?,0,2,YES,4448800,444880,889760,3114160,Audi,A5,2015,Y,
428,54,492745,2004-02-04,KA,100/300,166000,125015.43000000001,0,453407,MALE,Masters,transport-moving,kayaking,unmarried,0,-2025200,2015-01-22,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,DL,Riverwood,4693 Lincoln Hwy,16,3,NO,1,0,?,6354480,1059080,529540,4765860,Nissan,Ultima,2009,N,
99,32,130930,2014-07-23,KA,100/300,83000,87831.43000000001,249000000,618655,MALE,JD,craft-repair,golf,unmarried,0,0,2015-01-10,Single Vehicle Collision,Front Collision,Total Loss,Fire,DL,Arlington,2376 Sky Ridge,17,1,YES,1,1,NO,3413790,379310,379310,2655170,Dodge,RAM,1999,N,
107,26,261119,1997-03-21,TS,500/1000,166000,77367.62,0,612550,MALE,MD,sales,cross-fit,own-child,3369800,0,2015-01-10,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,TN,Columbus,1273 Rock Lane,2,3,NO,2,3,NO,6527950,1186900,593450,4747600,Audi,A3,1996,Y,
272,41,280709,1991-05-06,MH,500/1000,166000,133492.22,0,466718,FEMALE,Associate,farming-fishing,reading,own-child,2763900,-879800,2015-02-16,Single Vehicle Collision,Side Collision,Major Damage,Other,DL,Springfield,8281 Lincoln Lane,19,1,?,1,1,?,5897980,536180,1072360,4289440,Saab,92x,2010,N,
151,37,898573,1992-08-07,KA,500/1000,83000,143470.47999999998,0,617947,FEMALE,Masters,farming-fishing,dancing,own-child,4482000,0,2015-02-08,Single Vehicle Collision,Front Collision,Minor Damage,Fire,WB,Northbrook,6429 4th Hwy,0,1,YES,1,1,?,3222890,292990,292990,2636910,Suburu,Legacy,1999,N,
249,43,547802,2013-09-03,TS,250/500,83000,126032.18000000001,0,606238,FEMALE,MD,armed-forces,cross-fit,own-child,0,0,2015-01-26,Single Vehicle Collision,Front Collision,Major Damage,Fire,TN,Riverwood,2201 4th Lane,16,1,?,0,0,YES,4440500,444050,444050,3552400,Saab,92x,2015,N,
177,38,600845,2012-01-05,TS,100/300,166000,127835.77,0,463842,FEMALE,College,adm-clerical,skydiving,other-relative,0,-6183500,2015-02-01,Single Vehicle Collision,Front Collision,Major Damage,Other,UP,Columbus,5506 Best St,20,1,YES,2,0,NO,6117100,611710,611710,4893680,Chevrolet,Silverado,2001,Y,
190,40,390381,2007-01-27,MH,500/1000,166000,80112.43000000001,0,610354,FEMALE,JD,exec-managerial,camping,other-relative,3062700,-4457100,2015-02-02,Parked Car,?,Trivial Damage,,TN,Hillsdale,8404 Embaracadero St,10,1,?,2,1,YES,522900,52290,52290,418320,Nissan,Ultima,2001,N,
174,36,629918,2005-10-14,TS,100/300,166000,106136.25,0,461328,FEMALE,College,tech-support,paintball,own-child,4415600,-4465400,2015-02-06,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,DL,Riverwood,2117 Lincoln Hwy,21,3,?,2,2,NO,5428200,904700,904700,3618800,Dodge,RAM,2012,N,
